أبو بكر الشاطري, حفص عن عاصم
عبدالمحسن العسكر, حفص عن عاصم
عبدالمحسن القاسم, حفص عن عاصم
عبدالهادي أحمد كناكري, حفص عن عاصم
عبدالودود حنيف, حفص عن عاصم
عبدالولي الأركاني, حفص عن عاصم
عثمان الأنصاري, حفص عن عاصم
علي أبو هاشم, حفص عن عاصم
علي الحذيفي, قالون عن نافع
علي بن عبدالرحمن الحذيفي, حفص عن عاصم
علي جابر, حفص عن عاصم
علي حجاج السويسي, حفص عن عاصم
عماد زهير حافظ, حفص عن عاصم
عمر القزابري, ورش عن نافع
فارس عباد, حفص عن عاصم
فهد العتيبي, حفص عن عاصم
فهد الكندري, حفص عن عاصم
فواز الكعبي, حفص عن عاصم
لافي العوني, حفص عن عاصم
ماجد الزامل, حفص عن عاصم
ماجد العنزي, حفص عن عاصم
مالك شيبة الحمد, حفص عن عاصم
ماهر المعيقلي, حفص عن عاصم
ماهر المعيقلي, المصحف المعلم
ماهر شخاشيرو, حفص عن عاصم
محمد أيوب, حفص عن عاصم
محمد الأيراوي, حفص عن عاصم
محمد البراك, حفص عن عاصم
محمد الحافظ ( من ماليزيا ), حفص عن عاصم
محمد الطبلاوي, حفص عن عاصم
محمد اللحيدان, حفص عن عاصم
محمد المحيسني, حفص عن عاصم
محمد المنشد, حفص عن عاصم
محمد جبريل, حفص عن عاصم
محمد حفص علي ( من ماليزيا ), حفص عن عاصم
محمد خير النور ( من ماليزيا ), حفص عن عاصم
محمد رشاد الشريف, حفص عن عاصم
محمد صالح عالم شاه, حفص عن عاصم
محمد صديق المنشاوي, المصحف المعلم
محمد صديق المنشاوي, المصحف المجود
محمد صديق المنشاوي, حفص عن عاصم
محمد عبدالحكيم سعيد العبدالله, الدوري عن الكسائي
محمد عبدالحكيم سعيد العبدالله, البزي وقنبل عن ابن كثير
محمد عبدالكريم, حفص عن عاصم
محمد عبدالكريم, ورش عن نافع من طريق أبي بكر الأصبهاني
محمد عثمان خان ( من الهند ), حفص عن عاصم
محمود الرفاعي, حفص عن عاصم
محمود الشيمي, الدوري عن الكسائي
محمود خليل الحصري, ورش عن نافع
محمود خليل الحصري, المصحف المجود
محمود خليل الحصري, حفص عن عاصم
محمود علي البنا, حفص عن عاصم
محمود علي البنا, المصحف المجود
مشاري العفاسي, الدوري عن الكسائي
مشاري العفاسي, حفص عن عاصم
مصطفى إسماعيل, حفص عن عاصم
مصطفى اللاهوني, حفص عن عاصم
مصطفى رعد العزاوي, حفص عن عاصم
معمر الأندونيسي, حفص عن عاصم
معيض الحارثي, حفص عن عاصم
مفتاح السلطني, ابن ذكوان عن ابن عامر
مفتاح السلطني, حفص عن عاصم
مفتاح السلطني, شعبة  عن عاصم
مفتاح السلطني, الدوري عن أبي عمرو
مفتاح السلطني, الدوري عن الكسائي
موسى بلال, حفص عن عاصم
ناصر العبيد, حفص عن عاصم
ناصر القطامي, حفص عن عاصم
نبيل الرفاعي, حفص عن عاصم
نعمة الحسان, حفص عن عاصم
هاني الرفاعي, حفص عن عاصم
واصل المذن, حفص عن عاصم
وديع اليمني, حفص عن عاصم
وشيار حيدر اربيلي, حفص عن عاصم
وليد الدليمي, حفص عن عاصم
وليد النائحي, قالون عن نافع من طريق أبي نشيط
ياسر الدوسري, حفص عن عاصم
ياسر الفيلكاوي, حفص عن عاصم
ياسر القرشي, حفص عن عاصم
ياسر المزروعي , قراءة يعقوب الحضرمي بروايتي رويس وروح
ياسر سلامة, حفص عن عاصم
يحيى حوا, حفص عن عاصم
يوسف الدغوش ( من المغرب ), حفص عن عاصم
يوسف الشويعي, حفص عن عاصم
يوسف بن نوح أحمد, حفص عن عاصم
