Abdelbari Al-Toubayti, Rewayat Hafs A'n Assem
Akram Alalaqmi, Rewayat Hafs A'n Assem
Al-Qaria Yassen, Rewayat Warsh A'n Nafi'
Alashri Omran, Rewayat Hafs A'n Assem
Alfateh Alzubair, Rewayat Aldori A'n Abi Amr
Alhusayni Al-Azazi, Almusshaf Al Mo'lim
Ali Abo-Hashim, Rewayat Hafs A'n Assem
Ali Alhuthaifi, Rewayat Hafs A'n Assem
Ali Alhuthaifi, Rewayat Qalon A'n Nafi'
Ali Hajjaj Alsouasi, Rewayat Hafs A'n Assem
Ali Jaber, Rewayat Hafs A'n Assem
Aloyoon Al-Koshi, Rewayat Warsh A'n Nafi'
Alzain Mohammad Ahma, Rewayat Hafs A'n Assem
Bandar Balilah, Rewayat Hafs A'n Assem
Dawood Hamza, Rewayat Hafs A'n Assem
Emad Hafez, Rewayat Hafs A'n Assem
Fahad Al-Kandari, Rewayat Hafs A'n Assem
Fahad Al-Otaibi, Rewayat Hafs A'n Assem
Fares Abbad, Rewayat Hafs A'n Assem
Fawaz Alkabi, Rewayat Hafs A'n Assem
Hamad Al Daghriri, Rewayat Hafs A'n Assem
Hani Arrifai, Rewayat Hafs A'n Assem
Hatem Fareed Alwaer, Rewayat Hafs A'n Assem
Hussain Alshaik, Rewayat Hafs A'n Assem
Ibrahem Assadan, Rewayat Hafs A'n Assem
Ibrahim Al-Akdar, Rewayat Hafs A'n Assem
Ibrahim Al-Asiri, Rewayat Hafs A'n Assem
Ibrahim Al-Jebreen, Rewayat Hafs A'n Assem
Ibrahim Aldosari, Rewayat Warsh A'n Nafi'
Ibrahim Aljormy, Rewayat Hafs A'n Assem
Idrees Abkr, Rewayat Hafs A'n Assem
Jamaan Alosaimi, Rewayat Hafs A'n Assem
Jamal Addeen Alzailaie, Rewayat Hafs A'n Assem
Jamal Shaker Abdullah, Rewayat Hafs A'n Assem
Khaled Al-Qahtani, Rewayat Hafs A'n Assem
Khalid Abdulkafi, Rewayat Hafs A'n Assem
Khalid Al-Jileel, Rewayat Hafs A'n Assem
Khalid Al-Shoraimy, Rewayat Hafs A'n Assem
Khalid Al-Wehabi, Rewayat Hafs A'n Assem
Khalid Almohana, Rewayat Hafs A'n Assem
Khalifa Altunaiji, Rewayat Hafs A'n Assem
Lafi Al-Oni, Rewayat Hafs A'n Assem
Maher Al Meaqli, Rewayat Hafs A'n Assem
Maher Al Meaqli, Almusshaf Al Mo'lim
Maher Shakhashero, Rewayat Hafs A'n Assem
Mahmood Al rifai, Rewayat Hafs A'n Assem
Mahmood AlSheimy, Rewayat AlDorai A'n Al-Kisa'ai
Mahmoud Ali  Albanna, Almusshaf Al Mojawwad
Mahmoud Ali  Albanna, Rewayat Hafs A'n Assem
Mahmoud Khalil Al-Hussary, Rewayat Warsh A'n Nafi'
Mahmoud Khalil Al-Hussary, Almusshaf Al Mojawwad
Mahmoud Khalil Al-Hussary, Rewayat Hafs A'n Assem
Majed Al-Enezi, Rewayat Hafs A'n Assem
Majed Al-Zamil, Rewayat Hafs A'n Assem
Malik shaibat Alhamed, Rewayat Hafs A'n Assem
Mishary Al Afasi, Rewayat AlDorai A'n Al-Kisa'ai
Mishary Alafasi, Rewayat Hafs A'n Assem
Moeedh Alharthi, Rewayat Hafs A'n Assem
Mohammad Abdullkarem, Rewayat Hafs A'n Assem
Mohammad Abdullkarem, Rewayat Warsh A'n Nafi' Men  Tariq Abi Baker Alasbahani
Mohammad Al-Abdullah, Rewayat AlDorai A'n Al-Kisa'ai
Mohammad Al-Abdullah, Rewayat Albizi and Qunbol A'n Ibn Katheer
Mohammad Al-Airawy, Rewayat Hafs A'n Assem
Mohammad Al-Tablaway, Rewayat Hafs A'n Assem
Mohammad AlMonshed, Rewayat Hafs A'n Assem
Mohammad Rashad Alshareef, Rewayat Hafs A'n Assem
Mohammad Saleh Alim Shah, Rewayat Hafs A'n Assem
Mohammed Al-Barrak, Rewayat Hafs A'n Assem
Mohammed Al-Lohaidan, Rewayat Hafs A'n Assem
Mohammed Al-Muhasny, Rewayat Hafs A'n Assem
Mohammed Ayyub, Rewayat Hafs A'n Assem
Mohammed Hafas Ali (From Malaysia), Rewayat Hafs A'n Assem
Mohammed Jibreel, Rewayat Hafs A'n Assem
Mohammed Osman Khan (from India), Rewayat Hafs A'n Assem
Mohammed Siddiq Al-Minshawi, Almusshaf Al Mo'lim
Mohammed Siddiq Al-Minshawi, Almusshaf Al Mojawwad
Mohammed Siddiq Al-Minshawi, Rewayat Hafs A'n Assem
Mousa Bilal, Rewayat Hafs A'n Assem
Muamar (From Indonesia), Rewayat Hafs A'n Assem
Muftah Alsaltany, Ibn Thakwan A'n Ibn Amer
Muftah Alsaltany, Rewayat Hafs A'n Assem
Muftah Alsaltany, Sho'bah A'n Asim
Muftah Alsaltany, Rewayat Aldori A'n Abi Amr
Muftah Alsaltany, Rewayat AlDorai A'n Al-Kisa'ai
Muhammad Al-Hafiz (From Malaysia), Rewayat Hafs A'n Assem
Muhammed Khairul Anuar (From Malaysia), Rewayat Hafs A'n Assem
Mustafa Al-Lahoni, Rewayat Hafs A'n Assem
Mustafa Ismail, Rewayat Hafs A'n Assem
Mustafa raad Alazawy, Rewayat Hafs A'n Assem
Nabil Al Rifay, Rewayat Hafs A'n Assem
Nasser Al obaid, Rewayat Hafs A'n Assem
Nasser Alqatami, Rewayat Hafs A'n Assem
Neamah Al-Hassan, Rewayat Hafs A'n Assem
Omar Al-Qazabri, Rewayat Warsh A'n Nafi'
Othman Al-Ansary, Rewayat Hafs A'n Assem
Rachid Belalya, Rewayat Hafs A'n Assem
Rasheed Ifrad, Rewayat Hafs A'n Assem
Rodziah Abdulrahman (From Malaysia), Rewayat Hafs A'n Assem
Rogayah Sulong (From Malaysia), Rewayat Hafs A'n Assem
Saad Al-Ghamdi, Rewayat Hafs A'n Assem
Saber Abdulhakm, Rewayat Hafs A'n Assem
Sahl Yassin, Rewayat Hafs A'n Assem
Saidin Abdulrahman (From Malaysia), Rewayat Hafs A'n Assem
Salah Albudair, Rewayat Hafs A'n Assem
Salah Alhashim, Rewayat Qalon A'n Nafi'
Salah Alhashim, Rewayat Hafs A'n Assem
Saleh Al-Habdan, Rewayat Hafs A'n Assem
Saleh Al-Talib, Rewayat Hafs A'n Assem
Saleh Alsahood, Rewayat Hafs A'n Assem
Sami Al-Dosari, Rewayat Hafs A'n Assem
Sami Al-Hasn, Rewayat Hafs A'n Assem
Sapinah Mamat (From Malaysia), Rewayat Hafs A'n Assem
Saud Al-Shuraim, Rewayat Hafs A'n Assem
Sayeed Ramadan, Rewayat Hafs A'n Assem
Shaban Al-Sayiaad, Rewayat Hafs A'n Assem
Shirazad Taher, Rewayat Hafs A'n Assem
Slaah Bukhatir, Rewayat Hafs A'n Assem
Tareq Abdulgani daawob, Rewayat Hafs A'n Assem
Tawfeeq As-Sayegh, Rewayat Hafs A'n Assem
Ustaz Zamri (From Malaysia), Rewayat Hafs A'n Assem
Wadeea Al-Yamani, Rewayat Hafs A'n Assem
Waleed Alnaehi, Rewayat Qalon A'n Nafi' Men Tariq Abi Nasheet
Walid Al-Dulaimi, Rewayat Hafs A'n Assem
Wasel Almethen, Rewayat Hafs A'n Assem
Wishear Hayder Arbili, Rewayat Hafs A'n Assem
Yahya Hawwa, Rewayat Hafs A'n Assem
Yasser Al-Dosari, Rewayat Hafs A'n Assem
Yasser Al-Faylakawi, Rewayat Hafs A'n Assem
Yasser Al-Mazroyee, Rewayat Rowis and Rawh A'n Yakoob Al Hadrami 
Yasser Al-Qurashi, Rewayat Hafs A'n Assem
Yasser Salamah, Rewayat Hafs A'n Assem
Yousef Alshoaey, Rewayat Hafs A'n Assem
Yousef Bin Noah Ahmad, Rewayat Hafs A'n Assem
Youssef Edghouch, Rewayat Hafs A'n Assem
Zakaria Hamamah, Rewayat Hafs A'n Assem
Zaki Daghistani, Rewayat Hafs A'n Assem
